NechaG93688	NechaT93688	2615272	2615619	2615620	2615696	2615697	2616194
NechaG87500	NechaT87500	1171243	1171390	1171391	1171439	1171440	1171778
NechaG87500	NechaT87500	1171440	1171778	1171779	1171830	1171831	1172323
NechaG87500	NechaT87500	1171831	1172323	1172324	1172384	1172385	1172716
NechaG102190	NechaT102190	390584	390608	390609	390671	390672	391541
NechaG102190	NechaT102190	390672	391541	391542	391639	391640	391869
NechaG102190	NechaT102190	391640	391869	391870	391934	391935	392145
NechaG102190	NechaT102190	391935	392145	392146	392205	392206	392988
NechaG46733	NechaT46733	1124580	1124827	1124828	1124889	1124890	1124947
NechaG46733	NechaT46733	1124890	1124947	1124948	1125001	1125002	1125885
NechaG46733	NechaT46733	1125002	1125885	1125886	1125935	1125936	1126307
NechaG46733	NechaT46733	1125936	1126307	1126308	1126354	1126355	1126566
NechaG46733	NechaT46733	1126355	1126566	1126567	1126617	1126618	1127000
NechaG37917	NechaT37917	2109014	2109248	2109249	2109301	2109302	2109364
NechaG37917	NechaT37917	2109302	2109364	2109365	2109416	2109417	2110030
NechaG101749	NechaT101749	2874545	2874589	2874590	2874618	2874619	2875050
NechaG101749	NechaT101749	2874619	2875050	2875051	2875207	2875208	2875345
NechaG101749	NechaT101749	2875208	2875345	2875346	2875572	2875573	2877444
NechaG91959	NechaT91959	2334472	2334698	2334699	2334756	2334757	2335071
NechaG91959	NechaT91959	2334757	2335071	2335072	2335131	2335132	2335378
NechaG91959	NechaT91959	2335132	2335378	2335379	2335504	2335505	2336551
NechaG91959	NechaT91959	2335505	2336551	2336552	2336728	2336729	2336861
NechaG91959	NechaT91959	2336729	2336861	2336862	2336915	2336916	2337638
NechaG91959	NechaT91959	2336916	2337638	2337639	2337688	2337689	2338335
NechaG67362	NechaT67362	2038177	2038557	2038558	2038620	2038621	2039291
NechaG67362	NechaT67362	2038621	2039291	2039292	2039339	2039340	2039711
NechaG84071	NechaT84071	2635502	2635541	2635542	2635573	2635574	2635798
NechaG84071	NechaT84071	2635574	2635798	2635799	2635855	2635856	2636622
NechaG63133	NechaT63133	2915493	2915507	2915508	2915636	2915637	2915761
NechaG63133	NechaT63133	2915637	2915761	2915762	2915811	2915812	2916544
NechaG86687	NechaT86687	1213697	1213843	1213844	1213909	1213910	1213957
NechaG86687	NechaT86687	1213910	1213957	1213958	1214021	1214022	1214062
NechaG86687	NechaT86687	1214022	1214062	1214063	1214119	1214120	1214240
NechaG78355	NechaT78355	4019416	4020003	4020004	4020083	4020084	4020809
NechaG32404	NechaT32404	1789310	1790388	1790389	1790437	1790438	1790681
NechaG77824	NechaT77824	2228134	2229680	2229681	2229732	2229733	2229793
NechaG77824	NechaT77824	2229733	2229793	2229794	2229841	2229842	2230056
NechaG77824	NechaT77824	2229842	2230056	2230057	2230110	2230111	2230186
NechaG77824	NechaT77824	2230111	2230186	2230187	2230378	2230379	2230717
NechaG88540	NechaT88540	821175	821400	821401	821617	821618	821673
NechaG88540	NechaT88540	821618	821673	821674	821702	821703	821784
NechaG88540	NechaT88540	821703	821784	821785	821919	821920	821987
NechaG88540	NechaT88540	821920	821987	821988	822053	822054	822090
NechaG88540	NechaT88540	822054	822090	822091	822123	822124	822149
NechaG98726	NechaT98726	2218448	2218745	2218746	2218801	2218802	2219328
NechaG82376	NechaT82376	653968	654831	654832	654915	654916	655298
NechaG82376	NechaT82376	654916	655298	655299	655349	655350	656154
NechaG92385	NechaT92385	177474	178454	178455	178520	178521	178745
NechaG42066	NechaT42066	148974	149299	149300	149350	149351	149438
NechaG21215	NechaT21215	1601131	1602875	1602876	1602922	1602923	1603616
NechaG21215	NechaT21215	1602923	1603616	1603617	1603696	1603697	1603801
NechaG21215	NechaT21215	1603697	1603801	1603802	1603895	1603896	1603919
NechaG105740	NechaT105740	989222	989977	989978	990421	990422	990444
NechaG105740	NechaT105740	990422	990444	990445	990475	990476	990569
NechaG91373	NechaT91373	3610809	3610845	3610846	3610874	3610875	3612899
NechaG91373	NechaT91373	3610875	3612899	3612900	3612946	3612947	3613056
NechaG84275	NechaT84275	3297920	3298031	3298032	3298171	3298172	3298211
NechaG84275	NechaT84275	3298172	3298211	3298212	3298257	3298258	3298394
NechaG84275	NechaT84275	3298258	3298394	3298395	3298448	3298449	3298681
NechaG25867	NechaT25867	1287367	1287714	1287715	1287773	1287774	1287830
NechaG25867	NechaT25867	1287774	1287830	1287831	1287871	1287872	1288141
NechaG25867	NechaT25867	1287872	1288141	1288142	1288191	1288192	1288650
NechaG89467	NechaT89467	7902	8084	8085	8135	8136	8172
NechaG89467	NechaT89467	8136	8172	8173	8224	8225	8451
NechaG89467	NechaT89467	8225	8451	8452	8515	8516	8748
NechaG89467	NechaT89467	8516	8748	8749	8796	8797	9229
NechaG86448	NechaT86448	578035	578075	578076	578198	578199	578305
NechaG86448	NechaT86448	578199	578305	578306	578355	578356	579248
NechaG86448	NechaT86448	578356	579248	579249	579302	579303	580092
NechaG86448	NechaT86448	579303	580092	580093	580333	580334	580480
NechaG86448	NechaT86448	580334	580480	580481	580531	580532	580641
NechaG34494	NechaT34494	3808315	3809743	3809744	3809803	3809804	3810989
NechaG34494	NechaT34494	3809804	3810989	3810990	3811041	3811042	3811255
NechaG95722	NechaT95722	2459312	2459474	2459475	2459537	2459538	2459618
NechaG95722	NechaT95722	2459538	2459618	2459619	2459732	2459733	2459940
NechaG95722	NechaT95722	2459733	2459940	2459941	2460281	2460282	2460979
NechaG95722	NechaT95722	2460282	2460979	2460980	2461031	2461032	2461197
NechaG95722	NechaT95722	2461032	2461197	2461198	2461247	2461248	2461800
NechaG87185	NechaT87185	373920	374032	374033	374095	374096	374363
NechaG87185	NechaT87185	374096	374363	374364	374434	374435	374449
NechaG66024	NechaT66024	236348	237251	237252	237306	237307	237675
NechaG86543	NechaT86543	810324	810583	810584	810679	810680	810910
NechaG86543	NechaT86543	810680	810910	810911	810971	810972	811129
NechaG86543	NechaT86543	810972	811129	811130	811178	811179	811775
NechaG86543	NechaT86543	811179	811775	811776	811866	811867	812074
NechaG86543	NechaT86543	811867	812074	812075	812137	812138	812172
NechaG86543	NechaT86543	812138	812172	812173	812263	812264	812427
NechaG32449	NechaT32449	3125593	3125652	3125653	3125695	3125696	3126088
NechaG32449	NechaT32449	3125696	3126088	3126089	3126132	3126133	3127236
NechaG47477	NechaT47477	2890318	2890791	2890792	2890838	2890839	2891370
NechaG47477	NechaT47477	2890839	2891370	2891371	2891416	2891417	2891889
NechaG102000	NechaT102000	622986	623276	623277	623338	623339	623431
NechaG102000	NechaT102000	623339	623431	623432	623492	623493	623585
NechaG99982	NechaT99982	1079305	1079789	1079790	1079847	1079848	1080433
NechaG99982	NechaT99982	1079848	1080433	1080434	1080482	1080483	1081013
NechaG99982	NechaT99982	1080483	1081013	1081014	1081065	1081066	1081369
NechaG99982	NechaT99982	1081066	1081369	1081370	1081420	1081421	1081617
NechaG98848	NechaT98848	3546667	3546721	3546722	3546786	3546787	3546980
NechaG98848	NechaT98848	3546787	3546980	3546981	3547033	3547034	3547098
NechaG98848	NechaT98848	3547034	3547098	3547099	3547145	3547146	3547931
NechaG101659	NechaT101659	1844295	1844865	1844866	1844914	1844915	1844982
NechaG101659	NechaT101659	1844915	1844982	1844983	1845034	1845035	1845040
NechaG101659	NechaT101659	1845035	1845040	1845041	1845084	1845085	1845710
NechaG101659	NechaT101659	1845085	1845710	1845711	1845762	1845763	1846216
NechaG61163	NechaT61163	2264344	2264440	2264441	2264486	2264487	2264703
NechaG61163	NechaT61163	2264487	2264703	2264704	2264751	2264752	2266393
NechaG77297	NechaT77297	440421	442015	442016	442084	442085	442514
NechaG77297	NechaT77297	442085	442514	442515	442607	442608	442769
NechaG70394	NechaT70394	2657567	2659077	2659078	2659126	2659127	2660100
NechaG70394	NechaT70394	2659127	2660100	2660101	2660164	2660165	2660510
NechaG81431	NechaT81431	1271028	1271295	1271296	1271497	1271498	1272255
NechaG81431	NechaT81431	1271498	1272255	1272256	1272353	1272354	1272517
NechaG81431	NechaT81431	1272354	1272517	1272518	1272729	1272730	1272808
NechaG89407	NechaT89407	8095	8493	8494	8539	8540	9691
NechaG89407	NechaT89407	8540	9691	9692	9967	9968	10124
NechaG89407	NechaT89407	9968	10124	10125	10236	10237	10246
NechaG89407	NechaT89407	10237	10246	10247	10330	10331	10389
NechaG89407	NechaT89407	10331	10389	10390	10637	10638	10868
NechaG89407	NechaT89407	10638	10868	10869	11087	11088	11578
NechaG101991	NechaT101991	456413	456637	456638	456688	456689	457892
NechaG101991	NechaT101991	456689	457892	457893	457940	457941	459708
NechaG79679	NechaT79679	4016556	4016675	4016676	4016734	4016735	4016918
NechaG79679	NechaT79679	4016735	4016918	4016919	4016970	4016971	4016997
NechaG79679	NechaT79679	4016971	4016997	4016998	4017071	4017072	4017635
NechaG79679	NechaT79679	4017072	4017635	4017636	4017692	4017693	4017736
NechaG85423	NechaT85423	378213	378715	378716	378764	378765	379378
NechaG85423	NechaT85423	378765	379378	379379	379424	379425	379599
NechaG85423	NechaT85423	379425	379599	379600	379653	379654	379996
NechaG85423	NechaT85423	379654	379996	379997	380109	380110	380460
NechaG49659	NechaT49659	265368	266068	266069	266128	266129	267203
NechaG49659	NechaT49659	266129	267203	267204	267253	267254	267964
NechaG49659	NechaT49659	267254	267964	267965	268021	268022	268567
NechaG84771	NechaT84771	1430316	1430421	1430422	1430491	1430492	1430721
NechaG102773	NechaT102773	1575190	1575246	1575247	1575320	1575321	1575390
NechaG102773	NechaT102773	1575321	1575390	1575391	1575452	1575453	1575965
NechaG92405	NechaT92405	237933	238550	238551	238601	238602	239306
NechaG92405	NechaT92405	238602	239306	239307	239409	239410	239489
NechaG92405	NechaT92405	239410	239489	239490	239534	239535	239568
NechaG82410	NechaT82410	748174	750326	750327	750453	750454	750490
NechaG123140	NechaT123140	2980150	2982005	2982006	2982054	2982055	2982330
NechaG123140	NechaT123140	2982055	2982330	2982331	2982378	2982379	2985285
NechaG55814	NechaT55814	50965	51688	51689	51735	51736	52055
NechaG55814	NechaT55814	51736	52055	52056	52111	52112	52735
NechaG65059	NechaT65059	277036	277745	277746	277791	277792	277999
NechaG89479	NechaT89479	8450	8852	8853	8911	8912	9365
NechaG89479	NechaT89479	8912	9365	9366	9413	9414	9616
NechaG89479	NechaT89479	9414	9616	9617	9669	9670	10327
NechaG89479	NechaT89479	9670	10327	10328	10402	10403	10442
NechaG51742	NechaT51742	653929	654892	654893	654947	654948	655168
NechaG37284	NechaT37284	3941108	3941911	3941912	3941959	3941960	3942306
NechaG37284	NechaT37284	3941960	3942306	3942307	3942359	3942360	3942666
NechaG69288	NechaT69288	1812762	1813237	1813238	1813286	1813287	1814520
NechaG69288	NechaT69288	1813287	1814520	1814521	1814683	1814684	1814795
NechaG102938	NechaT102938	366598	366614	366615	366664	366665	367167
NechaG105534	NechaT105534	2008590	2009194	2009195	2009244	2009245	2010228
NechaG105534	NechaT105534	2009245	2010228	2010229	2010279	2010280	2010869
NechaG73140	NechaT73140	876413	876654	876655	876703	876704	877182
NechaG73140	NechaT73140	876704	877182	877183	877228	877229	877367
NechaG82991	NechaT82991	2289572	2289594	2289595	2289641	2289642	2290164
NechaG72948	NechaT72948	1045480	1046208	1046209	1046266	1046267	1048152
NechaG72948	NechaT72948	1046267	1048152	1048153	1048213	1048214	1048508
NechaG94485	NechaT94485	2359590	2359642	2359643	2359745	2359746	2359927
NechaG94485	NechaT94485	2359746	2359927	2359928	2359979	2359980	2360062
NechaG94485	NechaT94485	2359980	2360062	2360063	2360108	2360109	2360484
NechaG94485	NechaT94485	2360109	2360484	2360485	2360546	2360547	2360706
NechaG94485	NechaT94485	2360547	2360706	2360707	2360759	2360760	2360910
NechaG94485	NechaT94485	2360760	2360910	2360911	2360964	2360965	2361030
NechaG94485	NechaT94485	2360965	2361030	2361031	2361086	2361087	2361195
NechaG94485	NechaT94485	2361087	2361195	2361196	2361251	2361252	2361467
NechaG94485	NechaT94485	2361252	2361467	2361468	2361524	2361525	2361604
NechaG94485	NechaT94485	2361525	2361604	2361605	2361661	2361662	2361700
NechaG94471	NechaT94471	2298542	2299000	2299001	2299050	2299051	2300304
NechaG18469	NechaT18469	1705445	1705655	1705656	1705709	1705710	1706058
NechaG18469	NechaT18469	1705710	1706058	1706059	1706110	1706111	1706177
NechaG84664	NechaT84664	1018562	1018667	1018668	1018778	1018779	1019012
NechaG84664	NechaT84664	1018779	1019012	1019013	1019046	1019047	1019819
NechaG98846	NechaT98846	3491814	3491861	3491862	3492021	3492022	3493005
NechaG35283	NechaT35283	1218463	1219175	1219176	1219225	1219226	1219621
NechaG35283	NechaT35283	1219226	1219621	1219622	1219676	1219677	1220200
NechaG35283	NechaT35283	1219677	1220200	1220201	1220258	1220259	1220851
NechaG104802	NechaT104802	2573849	2574257	2574258	2574309	2574310	2575347
NechaG104802	NechaT104802	2574310	2575347	2575348	2575402	2575403	2575758
NechaG83092	NechaT83092	2565233	2565657	2565658	2565710	2565711	2566056
NechaG83092	NechaT83092	2565711	2566056	2566057	2566122	2566123	2566343
NechaG83092	NechaT83092	2566123	2566343	2566344	2566398	2566399	2567973
NechaG83092	NechaT83092	2566399	2567973	2567974	2568046	2568047	2568083
NechaG83092	NechaT83092	2568047	2568083	2568084	2568307	2568308	2569264
NechaG81309	NechaT81309	923061	923325	923326	923372	923373	924106
NechaG92123	NechaT92123	3286844	3287089	3287090	3287177	3287178	3287325
NechaG92123	NechaT92123	3287178	3287325	3287326	3287561	3287562	3287920
NechaG75850	NechaT75850	150563	151891	151892	151944	151945	152651
NechaG75850	NechaT75850	151945	152651	152652	152792	152793	152868
NechaG54339	NechaT54339	247978	248354	248355	248413	248414	249623
NechaG42723	NechaT42723	1106460	1108088	1108089	1108141	1108142	1108792
NechaG59580	NechaT59580	3863439	3864078	3864079	3864127	3864128	3864167
NechaG59580	NechaT59580	3864128	3864167	3864168	3864214	3864215	3864310
NechaG59580	NechaT59580	3864215	3864310	3864311	3864359	3864360	3865661
NechaG42947	NechaT42947	1134625	1136508	1136509	1136579	1136580	1136680
NechaG42947	NechaT42947	1136580	1136680	1136681	1136745	1136746	1137697
NechaG74011	NechaT74011	112643	113107	113108	113159	113160	113420
NechaG74011	NechaT74011	113160	113420	113421	113492	113493	114652
NechaG74011	NechaT74011	113493	114652	114653	114703	114704	114730
NechaG74011	NechaT74011	114704	114730	114731	114784	114785	114808
NechaG74011	NechaT74011	114785	114808	114809	114858	114859	114919
NechaG87376	NechaT87376	851488	851706	851707	851772	851773	852077
NechaG87376	NechaT87376	851773	852077	852078	852145	852146	852464
NechaG93112	NechaT93112	4013102	4013379	4013380	4013430	4013431	4013810
NechaG93112	NechaT93112	4013431	4013810	4013811	4013859	4013860	4014059
NechaG87610	NechaT87610	1483854	1484071	1484072	1484278	1484279	1485932
NechaG37376	NechaT37376	4455085	4455591	4455592	4455643	4455644	4458136
NechaG52950	NechaT52950	59663	59881	59882	59934	59935	60470
NechaG52950	NechaT52950	59935	60470	60471	60524	60525	60618
NechaG16073	NechaT16073	2310912	2311046	2311047	2311123	2311124	2311575
NechaG16073	NechaT16073	2311124	2311575	2311576	2311639	2311640	2312021
NechaG102584	NechaT102584	3044560	3044706	3044707	3044795	3044796	3045308
NechaG93859	NechaT93859	3379811	3382365	3382366	3382413	3382414	3382632
NechaG93859	NechaT93859	3382414	3382632	3382633	3382680	3382681	3382752
NechaG93859	NechaT93859	3382681	3382752	3382753	3382799	3382800	3383826
NechaG89566	NechaT89566	15500	15928	15929	16008	16009	16400
NechaG89566	NechaT89566	16009	16400	16401	16454	16455	16908
NechaG89566	NechaT89566	16455	16908	16909	16962	16963	17094
NechaG105384	NechaT105384	2391772	2392353	2392354	2392400	2392401	2392739
NechaG105384	NechaT105384	2392401	2392739	2392740	2392786	2392787	2394349
NechaG105384	NechaT105384	2392787	2394349	2394350	2394439	2394440	2395817
NechaG105384	NechaT105384	2394440	2395817	2395818	2395870	2395871	2396294
NechaG102382	NechaT102382	3718517	3718666	3718667	3718730	3718731	3718896
NechaG102382	NechaT102382	3718731	3718896	3718897	3718950	3718951	3718996
NechaG102382	NechaT102382	3718951	3718996	3718997	3719062	3719063	3719440
NechaG93370	NechaT93370	1084722	1084745	1084746	1084778	1084779	1085146
NechaG93370	NechaT93370	1084779	1085146	1085147	1085198	1085199	1085447
NechaG93370	NechaT93370	1085199	1085447	1085448	1085508	1085509	1085680
NechaG53159	NechaT53159	505765	506181	506182	506321	506322	506662
NechaG53159	NechaT53159	506322	506662	506663	506712	506713	507412
NechaG91879	NechaT91879	1984285	1984775	1984776	1984846	1984847	1985009
NechaG88219	NechaT88219	901009	901272	901273	901573	901574	901761
NechaG88219	NechaT88219	901574	901761	901762	901851	901852	901945
NechaG88219	NechaT88219	901852	901945	901946	902056	902057	902077
NechaG88219	NechaT88219	902057	902077	902078	902131	902132	902162
NechaG88219	NechaT88219	902132	902162	902163	902203	902204	902769
NechaG88219	NechaT88219	902204	902769	902770	902888	902889	903005
NechaG34486	NechaT34486	4017197	4017472	4017473	4017510	4017511	4018797
NechaG89643	NechaT89643	359475	359690	359691	359737	359738	364300
NechaG53037	NechaT53037	519676	520045	520046	520094	520095	520229
NechaG53037	NechaT53037	520095	520229	520230	520349	520350	520860
NechaG53037	NechaT53037	520350	520860	520861	520911	520912	521644
NechaG100132	NechaT100132	2250137	2251480	2251481	2251537	2251538	2254054
NechaG100132	NechaT100132	2251538	2254054	2254055	2254119	2254120	2255037
NechaG32356	NechaT32356	1757438	1757460	1757461	1757579	1757580	1757795
NechaG32356	NechaT32356	1757580	1757795	1757796	1757850	1757851	1758652
NechaG32356	NechaT32356	1757851	1758652	1758653	1758718	1758719	1758811
NechaG91669	NechaT91669	926128	926370	926371	926452	926453	928273
NechaG91669	NechaT91669	926453	928273	928274	928318	928319	929809
NechaG83499	NechaT83499	718574	718619	718620	718789	718790	718801
NechaG83499	NechaT83499	718790	718801	718802	718854	718855	719263
NechaG83499	NechaT83499	718855	719263	719264	719315	719316	719365
NechaG83499	NechaT83499	719316	719365	719366	719417	719418	719557
NechaG52786	NechaT52786	2266474	2267103	2267104	2267169	2267170	2267940
NechaG83339	NechaT83339	287599	287658	287659	287691	287692	287816
NechaG83339	NechaT83339	287692	287816	287817	287866	287867	288872
NechaG87480	NechaT87480	1104050	1104069	1104070	1104220	1104221	1104438
NechaG87480	NechaT87480	1104221	1104438	1104439	1104491	1104492	1104677
NechaG87480	NechaT87480	1104492	1104677	1104678	1104737	1104738	1105856
NechaG87480	NechaT87480	1104738	1105856	1105857	1105916	1105917	1105947
NechaG87480	NechaT87480	1105917	1105947	1105948	1106003	1106004	1106236
NechaG87480	NechaT87480	1106004	1106236	1106237	1106386	1106387	1106434
NechaG87480	NechaT87480	1106387	1106434	1106435	1106488	1106489	1107099
NechaG87480	NechaT87480	1106489	1107099	1107100	1107155	1107156	1107509
NechaG104617	NechaT104617	524253	525164	525165	525257	525258	525678
NechaG104617	NechaT104617	525258	525678	525679	525808	525809	525915
NechaG72692	NechaT72692	766393	767301	767302	768986	768987	769274
NechaG72692	NechaT72692	768987	769274	769275	769794	769795	770142
NechaG72692	NechaT72692	769795	770142	770143	770191	770192	770693
NechaG72692	NechaT72692	770192	770693	770694	770746	770747	770814
NechaG72692	NechaT72692	770747	770814	770815	770859	770860	771243
NechaG72692	NechaT72692	770860	771243	771244	771302	771303	771577
NechaG72692	NechaT72692	771303	771577	771578	771631	771632	771713
NechaG99989	NechaT99989	1127317	1127437	1127438	1127562	1127563	1128125
NechaG99989	NechaT99989	1127563	1128125	1128126	1128180	1128181	1129012
NechaG83196	NechaT83196	2859674	2859746	2859747	2859783	2859784	2860190
NechaG83391	NechaT83391	407211	408042	408043	408072	408073	408083
NechaG29697	NechaT29697	87808	87998	87999	88051	88052	88368
NechaG29697	NechaT29697	88052	88368	88369	88420	88421	88527
NechaG29697	NechaT29697	88421	88527	88528	88577	88578	88736
NechaG29697	NechaT29697	88578	88736	88737	88789	88790	88831
NechaG105927	NechaT105927	3839475	3840025	3840026	3840082	3840083	3840347
NechaG105927	NechaT105927	3840083	3840347	3840348	3840403	3840404	3840904
NechaG104485	NechaT104485	2397127	2398638	2398639	2399351	2399352	2399407
NechaG100222	NechaT100222	3109777	3110451	3110452	3110531	3110532	3110656
NechaG100222	NechaT100222	3110532	3110656	3110657	3110720	3110721	3110826
NechaG100222	NechaT100222	3110721	3110826	3110827	3110878	3110879	3111006
NechaG100222	NechaT100222	3110879	3111006	3111007	3111057	3111058	3111440
NechaG90087	NechaT90087	2977047	2977089	2977090	2977150	2977151	2977767
NechaG90087	NechaT90087	2977151	2977767	2977768	2977816	2977817	2977989
NechaG90087	NechaT90087	2977817	2977989	2977990	2978037	2978038	2978115
NechaG90087	NechaT90087	2978038	2978115	2978116	2978161	2978162	2979629
NechaG98705	NechaT98705	2070834	2071510	2071511	2071571	2071572	2072182
NechaG97804	NechaT97804	1775045	1775248	1775249	1775299	1775300	1776424
NechaG89205	NechaT89205	31405	31434	31435	31736	31737	32599
NechaG89205	NechaT89205	31737	32599	32600	32665	32666	32675
NechaG89205	NechaT89205	32666	32675	32676	32759	32760	33546
NechaG89205	NechaT89205	32760	33546	33547	33825	33826	35168
NechaG88458	NechaT88458	421107	422162	422163	422352	422353	422400
NechaG61944	NechaT61944	1968317	1968735	1968736	1968784	1968785	1968875
NechaG61944	NechaT61944	1968785	1968875	1968876	1968935	1968936	1969319
NechaG61944	NechaT61944	1968936	1969319	1969320	1969383	1969384	1970049
NechaG85123	NechaT85123	2588288	2588615	2588616	2588663	2588664	2588864
NechaG85123	NechaT85123	2588664	2588864	2588865	2588922	2588923	2588987
NechaG85123	NechaT85123	2588923	2588987	2588988	2589035	2589036	2589074
NechaG85123	NechaT85123	2589036	2589074	2589075	2589121	2589122	2589427
NechaG75243	NechaT75243	4517787	4519106	4519107	4519156	4519157	4519279
NechaG82508	NechaT82508	1027967	1028091	1028092	1028130	1028131	1028725
NechaG63523	NechaT63523	1278046	1278181	1278182	1278407	1278408	1278838
NechaG63523	NechaT63523	1278408	1278838	1278839	1278897	1278898	1279182
NechaG63523	NechaT63523	1278898	1279182	1279183	1279237	1279238	1279278
NechaG63523	NechaT63523	1279238	1279278	1279279	1279336	1279337	1280707
NechaG41873	NechaT41873	2897532	2897640	2897641	2897695	2897696	2897722
NechaG41873	NechaT41873	2897696	2897722	2897723	2897789	2897790	2897868
NechaG41873	NechaT41873	2897790	2897868	2897869	2897924	2897925	2898046
NechaG41873	NechaT41873	2897925	2898046	2898047	2898096	2898097	2898360
NechaG41873	NechaT41873	2898097	2898360	2898361	2898416	2898417	2898583
NechaG41873	NechaT41873	2898417	2898583	2898584	2898633	2898634	2898743
NechaG41873	NechaT41873	2898634	2898743	2898744	2898806	2898807	2899068
NechaG79199	NechaT79199	2352702	2352778	2352779	2352832	2352833	2353708
NechaG79199	NechaT79199	2352833	2353708	2353709	2353759	2353760	2353916
NechaG88549	NechaT88549	868165	868221	868222	868306	868307	868816
NechaG88549	NechaT88549	868307	868816	868817	868864	868865	868909
NechaG88549	NechaT88549	868865	868909	868910	868964	868965	869031
NechaG88549	NechaT88549	868965	869031	869032	869078	869079	869319
NechaG88549	NechaT88549	869079	869319	869320	869746	869747	869867
NechaG88549	NechaT88549	869747	869867	869868	870038	870039	870069
NechaG88549	NechaT88549	870039	870069	870070	870117	870118	870332
NechaG76712	NechaT76712	3007564	3007779	3007780	3007824	3007825	3008357
NechaG76712	NechaT76712	3007825	3008357	3008358	3008554	3008555	3008690
NechaG54845	NechaT54845	1188622	1189110	1189111	1189197	1189198	1190217
NechaG88483	NechaT88483	600298	600305	600306	600524	600525	600708
NechaG88483	NechaT88483	600525	600708	600709	600921	600922	601314
NechaG38643	NechaT38643	2978989	2979082	2979083	2979133	2979134	2979327
NechaG38643	NechaT38643	2979134	2979327	2979328	2979372	2979373	2979699
